year,fullName,primaryNationality,gender,photoUrl,type,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,impunityMurder,tortured,captive,threatened,charges,lengthOfSentence,impCountry,sentence,locationImprisoned
2014,Omar Younis al-Ghaafiqi,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/omaryounisghaafiqi.jpg_e61c1552-5dbf-4872-a53b-5acfad3a3212.jpeg,Journalist,N/A,Missing,Staff,Sama Mosul,"Technician,Camera Operator",Politics,Television,Iraq,Mosul,,,Mosul,,Local,,,,,,,,,,,
2014,Oralgaisha Omarshanova (Zhabagtaikyzy),Kazakhstan,Female,,Journalist,N/A,Missing,Staff,Zakon i Pravosudiye,Print Reporter,Corruption,,Kazakhstan,Almaty,,,Almaty,,Local,,,,,,,,,,,
2014,Pedro Argüello,Mexico,Male,,Journalist,N/A,Missing,Staff,"El Mañana,La Tarde",Print Reporter,,,Mexico,Reynosa,,,Reynosa,,Local,,,,,,,,,,,
2014,Prageeth Eknelygoda,Sri Lanka,Male,,Journalist,N/A,Missing,Staff,Lanka eNews,Columnist/Commentator,,,Sri Lanka,Colombo,,,Colombo,,Local,,,,,,,,,,,
2014,Qais Talal,Iraq,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Qais-Talal.jpg_fdf26131-1fae-456a-9e2c-d50c4fccc8e0.jpeg,Journalist,N/A,Missing,Staff,Sama Mosul,Broadcast Reporter,"Culture,Politics",Television,Iraq,Mosul,,,Mosul,,Local,,,,,,,,,,,
2014,Rafael Ortiz Martínez,Mexico,Male,,Journalist,N/A,Missing,Staff,"Zócalo,XHCCG",,,,Mexico,Monclava,,,Monclava,,Local,,,,,,,,,,,
2014,Ramón Ángeles Zalpa,Mexico,Male,,Journalist,N/A,Missing,Staff,Cambio de Michoacán,Print Reporter,,,Mexico,Paracho,,,Paracho,,Local,,,,,,,,,,,
2014,Reda Helal,Egypt,Male,,Journalist,N/A,Missing,Staff,Al-Ahram,Editor,,,Egypt,Cairo,,,Cairo,,Local,,,,,,,,,,,
2014,Salvador Adame Pardo,Mexico,Male,,Journalist,N/A,Missing,,6TV,,,,Mexico,Michoacán,,,Michoacán,,Local,,,,,,,,,,,
2014,Samir Kassab,Lebanon,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/samir_kassab.jpg_6c01124d-fa0d-4653-b477-b3a12f9a4f6f.jpeg,Journalist,N/A,Missing,Staff,Sky News Arabia,"Photographer,Camera Operator",War,Television,Syria,Aleppo,,,Aleppo,,Foreign,,,,,,,,,,,
2015,Sergei Ivanov,Russia,Male,,Journalist,N/A,Missing,Staff,Nevskoye Vremya,,,,Russia,Chechnya,,,Chechnya,,Local,,,,,,,,,,,
2015,Sergio Landa Rosado,Mexico,Male,,Journalist,N/A,Missing,Staff,Diario Cardel,,,,Mexico,Veracruz,,,Veracruz,,Local,,,,,,,,,,,
2015,Sofiene Chourabi,Tunisia,Male,,Journalist,N/A,Missing,Staff,First TV,,,,Libya,Ajdabiya,,,Ajdabiya,,Foreign,,,,,,,,,,,
2016,Utpal Das,Bangladesh,Male,,Journalist,N/A,Missing,Staff,purbopaschimbd.com,Internet Reporter,Politics,Internet,Bangladesh,,,,,,Local,,,,,,,,,,,
2017,Vasyl Klymentyev,Ukraine,Male,,Journalist,N/A,Missing,Staff,Novyi Stil,Editor,Corruption,,Ukraine,Kharkiv,,,Kharkiv,,Local,,,,,,,,,,,
2017,Vitaly Shevchenko,Ukraine,Male,,Journalist,N/A,Missing,Staff,Lita-M,,,,Russia,Chechnya,,,Chechnya,,Foreign,,,,,,,,,,,
2017,Vladjimir Legagneur,Haiti,Male,https://cpj-photos.s3.amazonaws.com/AFP-Haiti2-2018-07-24-1532449003641.jpg,Journalist,N/A,Missing,Freelance,Freelance,Photographer,"Culture,Politics","Internet,Print",Haiti,Port-au-Prince,,,Port-au-Prince,,Local,,,,,,,,,,,
2017,Waheed Mohammed Naji Haider (Waheed al-Sufi),Yemen,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/wahidal-soufi.jpg_d6f0e043-9c1b-4e67-9008-8ea245477808.jpeg,Journalist,N/A,Missing,Staff,al-Arabiya,Editor,"Human Rights,Politics,War","Print,Internet",Yemen,Sana'a,,,Sana'a,,Local,,,,,,,,,,,
2018,Walid al-Qasim,,,,Journalist,N/A,Missing,Staff,Aleppo News Network,Internet Reporter,War,Internet,Syria,Aleppo,,,Aleppo,,Local,,,,,,,,,,,
2020,Yelena Petrova,Ukraine,Female,,Journalist,N/A,Missing,Staff,Lita-M,,,,Russia,Chechnya,,,Chechnya,,Foreign,,,,,,,,,,,
